line,au_code
"A storm, a storm, but we are sheltered for it.",TM
"A thousand thanks and blessings, I have done with him.",TM
"A thwacking one, I charge you.",TM
"A true authority from the higher powers,",TM
A vengeance runt thee.,TM
"A very, very wanton boy,",TM
A wench.,TM
"A whore an honest woman, prove her so, Tim,",TM
A whore?,TM
A wiser man would.,TM
A-clapping you together.,TM
"Abed, or where you will for your own ease;",TM
"Abed, sir?",TM
Able to daunt a maid brought up i' the city;,TM
Able to make a citizen hare-mad;,TM
"Able to set up a young 'pothecary,",TM
"About a fool, son? Alas, what need you trouble your",TM
"About it, before she weep herself to a dry ground,",TM
"About my neck, and never left her hold",TM
"About, about with them amongst the gossips:",TM
After the pure manner of Amsterdam.,TM
"After we have given order for the funeral,",TM
Again! She has taken twice already.,TM
"Again? Death, which way?",TM
"Agreed, stand close again; another booty.",TM
"Ah me, with cruel wounding;",TM
"Ah, my poor girl! Good faith, thou wert too cruel",TM
"Ah, poor gentleman,",TM
"Ah, sirrah Wat, and did my lord bestow that jewel on thee,",TM
"Alas his poor worship's weakness,",TM
"Alas, sir, I am one that would have all well,",TM
"Alive, sir? O sweet, dear couple.",TM
ALL,TM
ALL,TM
ALL,TM
ALL,TM
ALL,TM
ALL,TM
ALL,TM
"All barrenness of joy, a drouth of virtue,",TM
"All but in blessings,",TM
"All comes to one, mother.",TM
"All comfort while she stays; is this a time,",TM
ALL GOSSIPS,TM
ALL GOSSIPS,TM
ALL GOSSIPS,TM
ALL GOSSIPS,TM
All ill at once.,TM
All is cast away then;,TM
All mine own ends by him and his rank toil;,TM
"All my lifetime, sir; I could ever say ""Bo"" to a goose. Farewell to your worship.",TM
All plagues of body and of mind--,TM
All the good wives at once.,TM
"All the whole street will hate us, and the world",TM
All the wishes of thy heart that wealth can purchase.,TM
All this is even still;,TM
"All veal? Pox, the worse luck; I promised faithfully to send",TM
"All's come out now, his niece an arrant baggage;",TM
"All's one to him; he feeds and takes his ease,",TM
"Allwit? Foot, I have heard of him,",TM
"Always the kursning day, sir.",TM
"Am I denied a chamber? What say you, forsooth?",TM
"Amantissimus charissimus, he has sent the carrier's",TM
"Among the women, 'twill embolden him well,",TM
"Amongst my children that I get in wedlock,",TM
Amongst your servants.,TM
"And 'tis my mind, I swear, before I marry",TM
And a sweet maidenhead,TM
And air myself a little; I am tied to nothing,TM
And all as high as Paul's.,TM
"And all my family; I am at his table,",TM
And all such gentlemen in the like extremity.,TM
"And all their daughters, too, though they had three bastards.",TM
And are as far in again as e'er they were;,TM
And become one of the faithful.,TM
"And being of even hand, I'll play no longer.",TM
"And being stroked, will give the milk of witches.",TM
And born i' the heart of London?,TM
And come with an intent to steal my daughter;,TM
"And costly, from the top to the bottom.",TM
And dare not take them up.,TM
"And dearth of all repentance: for her end,",TM
"And eat them heartily, thanks to your worship.",TM
And fetch the children hither--sight of them,TM
And get before my tutor.,TM
And half a lamb; you know my mistress's diet.,TM
And here she comes.,TM
And I find neither Welsh nor English in him.,TM
"And I protest, wench,",TM
And I were sure to get three boys ere midnight.,TM
"And I'll fall to work still before I'll lose him,",TM
And I'll run every foot.,TM
"And I'll take water at Paul's wharf, and overtake you.",TM
"And if in haste, any article misses,",TM
"And if that be all thy grief, I'll tender her a husband;",TM
And is now at Eton College.,TM
"And join with death in sleep, that if I had not waked",TM
And keeps his flesh in awe.,TM
And kiss him with devotion when he enters.,TM
"And kiss with trembling thighs. Yet see, she comes, sir.",TM
And know'st my nature.,TM
And laid a thicker vengeance on my act,TM
And lard their whores with lamb-stones; what their golls,TM
And lay him level with his bankrout merit;,TM
And leave the rest for her.,TM
And let this stand in every gallant's chamber:,TM
"And live awhile asunder, our desires",TM
"And lose it ere we find it,",TM
And ne'er return I hope.,TM
And ne'er trained up to women's company.,TM
And never shed a tear for it.,TM
And no man can tell which way;,TM
And not unto her blood--this is like wedlock;,TM
And now about these gossips.,TM
"And now I'll tell you, gossip--she's too free.",TM
"And of her kindness in this business to us,",TM
And offer me six plums?,TM
And other confirmed graces.,TM
And other poisonous officers that infect,TM
"And parents blinded so, but they're served right",TM
And physic times: is't not a place for easement?,TM
"And pleasure me, brother, as man's feet can tread in,",TM
And putting jewels in their little ears;,TM
And richly stock the foreman of a drug shop;,TM
"And rise up a well-edified, boldified sister;",TM
And she can have two children at a birth;,TM
And she recoiled in Hebrew.,TM
And she that hath wit may shift anywhere.,TM
And sings herself to death.,TM
"And snuffing up their noses, like rich men's dogs",TM
"And so fetch it up again, for having none",TM
"And so ne'er again meet, never.",TM
And some that will be maids yet three years hence.,TM
And stand between me and the sight of Heaven;,TM
"And stay the corps, with bills of Middlesex.",TM
And take a house in the Strand.,TM
And take her for thy labour.,TM
"And take this for comfort,",TM
And take your murderer along with you--,TM
"And that you may courageously go forward,",TM
And that's as good at all times as a 'pothecary's.,TM
"And that's the surest. Well, knight, that choice [spoil]",TM
"And that's worth all, sweet husband.",TM
And the butcher belike,TM
"And then be pleased again, no man knows which way,",TM
And then break it.,TM
"And then stands by, and weeps to see him suffer.",TM
And there I can hear no tidings of these runts neither;,TM
"And there the beggar goes beyond us. O, O, O,",TM
"And therefore get you gone, sir.",TM
And therefore pining to hear others thrive.,TM
"And therefore, sir, no gentlewoman.",TM
"And those are the best Yellowhammers, and truest bred:",TM
"And those that have no handkerchers, lift up aprons.",TM
"And till our state rise, make our bloods lie still.",TM
And to her carnal strictness.,TM
"And too eternal leave of this world's light,",TM
"And verily well kursened, i' the right way,",TM
"And vintner; there will be wine in bowls, i'faith.",TM
And we shall dispatch the sooner.,TM
"And what are you, sir?",TM
"And when a thing's done, 'tis done,",TM
"And where some merchants would in soul kiss hell,",TM
"And where that fails, in satisfaction",TM
"And which o' the Yellowhammers take you descent from,",TM
And whine out all her goodness.,TM
"And with a knight in town, Sir Walter Whorehound.",TM
And with a venomous breath taint every goodness.,TM
And with her black wings beats down all my prayers,TM
And would show well a-horseback; when you come,TM
And yet his wife has seven.,TM
And you cannot see,TM
And you'll curse the time that e'er you made the match;,TM
"Another hundred when my wife is quick,",TM
"Anything, wench, but what may beget beggars;",TM
Are any of the brethren's wives yet come?,TM
Are both too fruitful for our barren fortunes.,TM
Are wondrous hot and busy.,TM
"Are you content, sir, till then she shall be watched?",TM
"Are you not ashamed, tutor? Grammatica? Why,",TM
"Argumentum iterum probo tibi, domine: qui non ",TM
"participat de ratione nullo modo potest vocari rationalibus, ",TM
"but stultus non participat de ratione, ergo stultus nullo modo potest dicere rationali.",TM
"Art thou so cruel to the peace of man,",TM
As carefully as my gold; she shall see as little sun,TM
As fast as they come on.,TM
"As fit as can be. Nick with some vintner; good, goldsmith",TM
"As good now, then, as let her lie in torment,",TM
"As if it had been spit out of his mouth,",TM
As if she lay with all the gaudy shops,TM
"As if they'd dance the sword dance on the stage,",TM
As is my sister's colour into paleness.,TM
As long as they are a-weeping; they work against me;,TM
"As mine is still to me, prays for the founder;",TM
"As much, sir, to curb her of her humour.",TM
"As now she's even upon the point of grunting,",TM
"As other trades thrive, butchers by selling flesh,",TM
As rightly as his body. Had I married,TM
As sunrise we'll have you joined.,TM
As we were wont to do.,TM
"as we; make the most of him, he's but one peep above",TM
"As well as a man might do, mother, in modest Latin.",TM
As well as e'er we did before we met.,TM
As well as we can.,TM
"As what affliction nature more constrains,",TM
"As you were lately pleased to term your worship, sir,",TM
"Assuredly confirmed that none else shall,",TM
"At all, he's dead, sweet mistress.",TM
"At hand, forsooth.",TM
At heart as I can be.,TM
"At Puddle wharf, and at the dock below",TM
At Queenhive and roast the loin of mutton,TM
"At the good hour, they will, and please your worship.",TM
"At the street corner, pricking up their ears,",TM
"At your own proper costs in spite of censure,",TM
Avedera whee comrage? Derdue cog foginis?,TM
"Away quick, there's a boat waits for you,",TM
"Away, wife, hear a fool, his lands will hang him.",TM
Away!,TM
"Ay, 'tis thou,",TM
"Ay, and I'll bide all loss, sir.",TM
"Ay, and see how fast they come.",TM
"Ay, had you been aught, husband,",TM
"Ay, I thank your pains.",TM
"Ay, sir, the gentleman's brother will have it so,",TM
"Ay, sir.",TM
"Ay, that she was last Lammas,",TM
"Ay, that work did cost the knight above a hundred mark.",TM
"Ay, trust me, sir,",TM
"Ay, we shall part you, minx.",TM
"Back, be silent.",TM
"Baggage, you shall.",TM
Barn Elms.,TM
"Be but you patient, wife.",TM
"Be content, sweet wife.",TM
"Be hanged! I need not wish it,",TM
"Be not afraid to go to your business roundly,",TM
"Be thou the head. Thou, the grand whore of spitals.",TM
Before I dare go further.,TM
Before me? I pray come down a little.,TM
"Begins to blossom, there's no peace for him,",TM
"Being his poor nearest kinsman, I may fare",TM
"Being so, 'tis soon; thanks, and your leave sweet gentlewoman.",TM
Believe him? Can the devil speak ill of darkness?,TM
"Believe me, sir, some four and thirty.",TM
belly only broke his back: mine had been all in fitters,TM
"Besides drinkings abroad, that's never reckoned;",TM
Besides her goods and cattle.,TM
Besides three chains of pearl and a box of coral.,TM
"Besides, you have a presence, sweet Sir Walter,",TM
"Bless the right worshipful, the good founder's life.",TM
"Bless us all, you overwhelm me, sir, with love and riches.",TM
"boots; patri, pay the porter; amantissimis charissimis,",TM
Both draw and fight.,TM
"Both in your lives, and your hearts' combination.",TM
"Both, go both together?",TM
"bright trade. A goldsmith's shop sets out a city maid. Davy [Dahumma], not a word.",TM
"Bring hither that same cup, Nurse, I would fain drive away this (hup!) anti-Christian grief.",TM
"Bring the child hither, Nurse;",TM
Brother to Mr. Touchwood.,TM
"Brother, I have sought you strangely.",TM
brought up at the university: but bring forth what fool,TM
buried in Bucklersbury.,TM
"Buss, buss, pretty rogue.",TM
But 'tis a husband solders up all cracks.,TM
But a cross thing I ever found thee.,TM
But a while since from two or three varlets,TM
"But as thou sayst, we must give way to need",TM
"But being past help, let words forget it, too:",TM
But buss her thrice an hour.,TM
"but Ellen, my poor cousin in Derbyshire, thou hast cracked",TM
"But for the honest watermen; I am bound to them,",TM
"But for this maid, whom envy cannot hurt",TM
But from your love and time my peace must grow.,TM
"But he is a wanton boy,",TM
But he's the man must bed her.,TM
"But her discretion, and approves her judgment.",TM
But I long especially for veal and green sauce.,TM
"But I must tell you first, he's very dear.",TM
But I protest in better state of government,TM
"But indeed you came not so single,",TM
"But must obey my husband. Prithee, love,",TM
But not mine own.,TM
But one bout?,TM
"But one that I must shun like pestilence,",TM
"But part in time of penitence, hides his face;",TM
But run behind hand much with getting children.,TM
"But she has a fault gossip, a secret fault.",TM
But she made us all have joyful hearts again;,TM
"But smile, and pin the door. When she lies in,",TM
"But sweet, ha' you sent to Cambridge,",TM
But that he keeps their lips in play.,TM
But that it is my pleasure to walk forth,TM
But that necessity must be obeyed.,TM
"But that she's taken with some other love,",TM
"But the restraint of love, and your unkindness,",TM
"But there's such a mist, I can see none of 'em.",TM
But to say which of their two humours hold them,TM
But used to have more words than one to a bargain.,TM
"But we must have such guests? I pray depart, sirs,",TM
"But what's the secret thou'st about to tell me,",TM
But who would have dreamt of that?,TM
But will not your worship go to the funeral,TM
"But you'll find your tongue again among maidservants,",TM
"By her red hair, and other rank descriptions,",TM
By logic I'll prove anything.,TM
"By logic I'll prove him to be a man,",TM
"By Mistress Anne, in Anno [ ].",TM
"By no means, coz, she's quite undone then,",TM
"By the brethren, as I have five at home.",TM
By the firm secrecy and kind assistance,TM
"By the mass,",TM
By thine own doctor's advice at 'pothecary's;,TM
"By this light, I'll be hanged then.",TM
"By this light, they are out again at the same door,",TM
"By this light, they have forgot their anger since,",TM
"By your leave sir,",TM
"By your leave, sir.",TM
"Call me to mind, is your remembrance lost?",TM
"Call up my tutor, mother, and I care not.",TM
Calls us all ladies.,TM
"Came into the house with all their rapiers drawn,",TM
"Came very lately, yet it came too soon;",TM
Can any man tell now which way they came in?,TM
Can any woman have a greater cut?,TM
Can clutch goes presently to their Molls and Dolls.,TM
"Can there be any part of bliss,",TM
"Cannot our house be private to ourselves,",TM
Capers.,TM
"changed his half-crown-piece his mother sent him,",TM
"Changed? Gold into white money was never so changed,",TM
"Children are blessings, if they be got with zeal,",TM
"Children? Boys thus high,",TM
"Circled with children, pranking up a girl,",TM
"Clean contrary,",TM
"coffin of the virgin [Moll], with a garland of flowers, with",TM
"Come along presently by the Pissing Conduit,",TM
"Come from the university,",TM
"Come here's your drink, sir.",TM
"Come hither, come hither,",TM
"Come hither, Nurse.",TM
"Come I from Cambridge,",TM
"Come, come, I ha' done;",TM
"Come, good Sir Walter, and your virtuous niece here.",TM
"Come, let's be talking somewhat to keep him alive.",TM
"Come, now we'll see how the rules go within.",TM
"Come, quid est grammatica?",TM
"Come, sweet sister, we go in unity, and show the fruits of peace like children of the spirit.",TM
"Come, tutor.",TM
"Come, we'll excuse you here.",TM
"Come, we'll see't.",TM
come; see and they have not culled out all the long,TM
"coming, and now she shall ha't, boy.",TM
"Confusion of her brats before her eyes,",TM
cried up and down for samphire. To see the difference of these seasons!,TM
"Cruel fates true love do soonest sever,",TM
"Cud's foot, she's lost else, I shall miss her ever.",TM
Culled out of Ovid de Tristibus.,TM
"Cupid is Venus' only joy,",TM
Dar'st thou be so short with me?,TM
"Davy, and longs for nothing but pickled cucumbers, and his",TM
"Dead, sir?",TM
"Dead? Lift, lift, who helps me?",TM
"Death! She is not dead, I hope?",TM
"deep scholar; and master tutor, a word, I pray, let",TM
"deserve two thousand pounds in lead to your marriage, and not in goldsmith's ware.",TM
"Dicit Virgilius, father.",TM
Did ever runaway match it?,TM
Did not I sell this ring?,TM
Did you receive the two goose pies I sent you?,TM
"Dispatch, the time draws near. Come hither, Davy.",TM
"Dissembling, cunning baggage!",TM
"Do but in courtesy, faith, wench, excuse me",TM
"Do not you know, sir?",TM
"Do thy worst, slave;",TM
"Do you call, sir?",TM
Do you see your workmanship?,TM
Do you think I'll trust him? As a usurer,TM
Do you turn aside? You gentlemen are mad wags;,TM
"Does often move a man, and prevails strongly.",TM
Done.,TM
"Dost not feel it, Davy?",TM
Drinks.,TM
Dugat a whee.,TM
"E'en after your own making, sir,",TM
"E'en as they lie themselves, with their heels up;",TM
"E'en the same was gossip, and gave the spoon.",TM
Eaten with jealousy to the inmost bone--,TM
"Either give over both, or I'll give over:",TM
Either will serve.,TM
ell that puts in thrice together. Had this been all,TM
"else, which wound too high for the daughters of the freedom.",TM
"Embroiderings, spanglings, and I know not what,",TM
"Enough, leave me like my joys.",TM
Enter [Dry] Nurse and Tim.,TM
Enter [Moll].,TM
Enter a Gentleman with a chain.,TM
Enter a Maid.,TM
Enter a Man with meat in a basket.,TM
Enter a Servant with a box.,TM
Enter a Servant.,TM
Enter a Servant.,TM
Enter a Servant.,TM
Enter a Servant.,TM
"Enter a Wench with a basket, and a child in it under a loin of mutton.",TM
Enter a Wench with a child.,TM
Enter Allwit and Davy.,TM
"Enter Allwit in one of Sir Walter's suits, and Davy trussing him.",TM
"Enter Allwit, his Wife, and Davy Dahumma.",TM
Enter Allwit.,TM
Enter Allwit's Wife.,TM
Enter another with a basket.,TM
Enter both the Touchwoods.,TM
Enter both the Touchwoods.,TM
Enter Davy and Allwit severally.,TM
Enter Davy with the Children.,TM
Enter Davy.,TM
"Enter Maudlin and Moll, a shop being discovered.",TM
"Enter Maudlin drawing Moll by the hair, and Watermen.",TM
Enter Maudlin.,TM
Enter Maudlin.,TM
Enter Maudlin.,TM
"Enter Midwife with the child, [Maudlin] and the Gossips to the Kursning.",TM
Enter Moll and Touchwood Senior.,TM
Enter Moll.,TM
Enter Nurse with comfits and wine.,TM
Enter Porter.,TM
Enter Sir Oliver and Servants.,TM
Enter Sir Oliver Kix and his Lady.,TM
Enter Sir Oliver Kix and his Lady.,TM
Enter Sir Walter and Davy.,TM
Enter Sir Walter led in hurt.,TM
"Enter Sir Walter Whorehound, Welsh Gentlewoman and Davy [Dahumma].",TM
Enter Sir Walter Whorehound.,TM
Enter Sir Walter Whorehound.,TM
Enter Sir Walter with two spoons and plate and Allwit.,TM
Enter Susan.,TM
Enter three or four Watermen.,TM
Enter Tim and Tutor.,TM
Enter Tim.,TM
Enter Tim.,TM
"Enter Tim[, Tutor,] and Welsh Gentlewoman.",TM
Enter Touchwood Junior and a Parson.,TM
Enter Touchwood Junior with a Waterman.,TM
Enter Touchwood Junior.,TM
Enter Touchwood Junior.,TM
Enter Touchwood Senior and his Wife.,TM
Enter Touchwood Senior with a letter.,TM
Enter Tutor.,TM
"Enter two children[, Wat and Nick].",TM
Enter two Gossips.,TM
Enter two Promoters.,TM
Enter two Servants.,TM
Enter Welsh Gentlewoman.,TM
Enter Yellowhammer and Allwit [in disguise].,TM
Enter Yellowhammer and his Wife.,TM
Enter Yellowhammer and his Wife.,TM
Enter Yellowhammer and Sir Walter.,TM
Enter Yellowhammer.,TM
"Entered? Come, swear--",TM
"epitaphs pinned on it, attended by maids and women",TM
"Ere it knows parent's frown, or loss of friend.",TM
Ere they be half way up; what's he knows now,TM
"Ergo, knave, your master.",TM
"Errors! Nay, the city cannot hold you, wife, but you",TM
"est animal rationale, sicut stultus est animal rationale.",TM
Even before breakfast: married a whore,TM
"Every inch, i'faith.",TM
Everyone gets before me--there's my sister,TM
"Excellent neatly; my master's things were ever fit for you, sir, e'en to a hair, you know.",TM
Exit [Allwit with Sir Walter].,TM
Exit [Davy].,TM
Exit [Dry Nurse]. Enter a Wet Nurse [carrying a baby].,TM
Exit [with Davy].,TM
Exit [with First Waterman]. Enter Moll.,TM
Exit [with Maudlin].,TM
Exit [with Maudlin]. Enter Tim and Tutor.,TM
Exit [with Mistress Allwit].,TM
Exit [with Moll and Yellowhammer].,TM
Exit [with Servants].,TM
Exit [with Touchwood Senior].,TM
Exit [with Tutor].,TM
Exit [with Tutor].,TM
Exit [with Yellowhammer].,TM
Exit [Yellowhammer with Moll].,TM
Exit Moll.,TM
Exit Porter.,TM
Exit Waterman.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Exit.,TM
Expect me about three.,TM
"Eyed, nosed and browed as like a girl can be,",TM
"Fair needlework stools cost nothing with them, Davy.",TM
"Faith, any flesh,",TM
"Faith, busy, mother, about an epitaph",TM
"Faith, feels no pain",TM
"Faith, I am poor; do a charitable deed, wench,",TM
"Faith, I can,",TM
"Faith, if the truth were known, she hath proceeded.",TM
"Faith, nor I neither.",TM
"Faith, sir, I thank your worship for this girl,",TM
"Faith, small, telling your daughter Mary of her errors.",TM
"Faith, there's a name, 'tis my son Tim, forsooth.",TM
"Faith, well, I thank you, neighbour, and how dost thou?",TM
"Faith, when she will I'll have a bout with her.",TM
"Fall out like giants, and fall in like children--",TM
Falleris sane.,TM
Fame sets her out with richer ornaments,TM
"Farewell, life.",TM
"Farewell, sir, all content bless thee,",TM
"Farewell, sweet gossip.",TM
Feed and grow strong.,TM
"Ferter me hercule tu virgo,
Wallia ut opibus abundis maximis.",TM
"Fie that thou'lt say so,",TM
"Fie, 'tis impossible.",TM
"Fie, they are all for French, they speak no Latin.",TM
"Fie, what a trouble I have rid my hands on;",TM
FIFTH GOSSIP,TM
"Fill again, Nurse.",TM
"Find excellent cheer, a good fire in winter,",TM
"Finding a table furnished to his hand,",TM
Finds such an honest friend i' the common place.,TM
"Fine sport, i'faith.",TM
"Flectere si [nequeo] superos, Acheronta [movebo], mother.",TM
Flesh dare not peep abroad now; I have known,TM
"Foot, I dare you, sir.",TM
For all the goodness I can find in't yet.,TM
For all the neighbours' daughters.,TM
"For all the world, for fear of colouring her hair;",TM
"For all your wealth, to make you a poor man,",TM
For an epistle thou mad'st in Latin?,TM
For any that has answered under bachelor to thrust,TM
"For as they get their means by gentlemen,",TM
"For by that vow, e'en absent [I] enjoy her,",TM
"For common good, than memory ever knew of,",TM
"For eighteen pence a day, or Brainford horse races;",TM
For every harvest I shall hinder hay-making;,TM
"For having killed the man in his defence,",TM
For he wants nothing but audacity;,TM
For I shall be missed straight; I made hard shift,TM
For such a business without provocation;,TM
For the imprisonment of veal and mutton,TM
"For the pranks that he hath done,",TM
"for the worthies of Whitehall, or Greenwich. E'en plain,",TM
For thirteen shillings fourpence.,TM
For this small time I have.,TM
"For though she be locked up, her vow is fixed",TM
For two months' absence I'll be satisfied.,TM
For two thousand pounds.,TM
"For want of heirs, yet put by all good fortune.",TM
"For whoe'er games, the box is sure a winner.",TM
"Forced her disgracefully, not like a mother.",TM
Fortune dotes on me; he's in happy case,TM
Four hundred pounds of me at four several payments:,TM
"frays, and cambrics bracks.",TM
From both the churchwardens.,TM
"From Cambridge, I think it be your son, forsooth.",TM
From jealousy of a wife as from the charge.,TM
"From sight of those that darken all my hopes,",TM
"from the Bell sweating. Let me come to't, for I was a",TM
"From the first parent, let the world bring forth",TM
"From the poor miserable sight of me,",TM
"from you, you dance like a plumber's daughter, and",TM
"Fulness of joy showeth the goodness in thee,",TM
"Gamesters, farewell, I have nothing left to play.",TM
Gave us ten groats apiece on Ash Wednesday.,TM
"Get but his wife with child, perch at tree top,
And shake the golden fruit into her lap.",TM
"Get but two,",TM
"Get children, and I'll keep them.",TM
"Get you away with them, I shall fare the worse",TM
"Give me but those good deeds, and I'll find children.",TM
Give me the wet nurse.,TM
"Give you joy of your fine girl, sir,",TM
