line,au_code
"Better call back that time was Yesterday,",JF
"Or stay the coming Night, than bring my Love",JF
"Home to my self again, or recreant prove.",JF
"I will no longer hold you with delays,",JF
This present night I have appointed been,JF
To meet that chaste Fair (that enjoys my Soul),JF
"In yonder Grove, there to make up our Loves.",JF
"Be not deceiv'd no longer, chuse again,",JF
"These neighbouring Plains have many a comely Swain,",JF
"Fresher, and freer far than I e'r was,",JF
"Bestow that love on them, and let me pass.",JF
"Farewel, be happy in a better Choice.               [_Exit_.",JF
"_Ama_. Cruel, thou hast struck me deader with thy Voice",JF
Than if the angry Heavens with their quick flames,JF
"Had shot me through: I must not leave to love,",JF
"I cannot, no I must enjoy thee, Boy,",JF
Though the great dangers 'twixt my hopes and that,JF
Be infinite: there is a Shepherd dwells,JF
"Down by the Moor, whose life hath ever shown",JF
"More sullen Discontent than _Saturns_ Brow,",JF
When he sits frowning on the Births of Men:,JF
One that doth wear himself away in loneness;,JF
And never joys unless it be in breaking,JF
The holy plighted troths of mutual Souls:,JF
"One that lusts after [every] several Beauty,",JF
"But never yet was known to love or like,",JF
"Were the face fairer, or more full of truth,",JF
"Than _Phoebe_ in her fulness, or the youth",JF
Of smooth _Lyaeus_; whose nigh starved flocks,JF
"Are always scabby, and infect all Sheep",JF
"They feed withal; whose Lambs are ever last,",JF
"And dye before their waining, and whose Dog",JF
"Looks like his Master, lean, and full of scurf,",JF
Not caring for the Pipe or Whistle: this man may,JF
"(If he be well wrought) do a deed of wonder,",JF
Forcing me passage to my long desires:,JF
"And here he comes, as fitly to my purpose,",JF
As my quick thoughts could wish for.,JF
_Enter_ Shepherd.,JF
"_Shep_. Fresh Beauty, let me not be thought uncivil,",JF
Thus to be Partner of your loneness: 'twas,JF
My Love (that ever working passion) drew,JF
Me to this place to seek some remedy,JF
"For my sick Soul: be not unkind and fair,",JF
For such the mighty Cupid in his doom,JF
Hath sworn to be aveng'd on; then give room,JF
"To my consuming Fires, that so I may",JF
"Enjoy my long Desires, and so allay",JF
Those flames that else would burn my life away.,JF
"_Ama_. Shepherd, were I but sure thy heart were sound",JF
"As thy words seem to be, means might be found",JF
To cure thee of thy long pains; for to me,JF
That heavy youth-consuming Miserie,JF
"The love-sick Soul endures, never was pleasing;",JF
I could be well content with the quick easing,JF
"Of thee, and thy hot fires, might it procure",JF
Thy faith and farther service to be sure.,JF
"_Shep_. Name but that great work, danger, or what can",JF
"Be compass'd by the Wit or Art of Man,",JF
"And if I fail in my performance, may",JF
I never more kneel to the rising Day.,JF
"_Ama_. Then thus I try thee, Shepherd, this same night,",JF
"That now comes stealing on, a gentle pair",JF
"Have promis'd equal Love, and do appoint",JF
To make yon Wood the place where hands and hearts,JF
Are to be ty'd for ever: break their meeting,JF
"And their strong Faith, and I am ever thine.",JF
"_Shep_. Tell me their Names, and if I do not move",JF
(By my great power) the Centre of their Love,JF
"From his fixt being, let me never more",JF
Warm me by those fair Eyes I thus adore.,JF
"_Ama_. Come, as we go, I'll tell thee what they are,",JF
And give thee fit directions for thy work.           [_Exeunt._,JF
_Enter_ Cloe.,JF
"_Cloe_. How have I wrong'd the times, or men, that thus",JF
After this holy Feast I pass unknown,JF
And unsaluted? 'twas not wont to be,JF
Thus frozen with the younger companie,JF
"Of jolly Shepherds; 'twas not then held good,",JF
For lusty Grooms to mix their quicker blood,JF
"With that dull humour, most unfit to be",JF
"The friend of man, cold and dull Chastitie.",JF
"Sure I am held not fair, or am too old,",JF
"Or else not free enough, or from my fold",JF
"Drive not a flock sufficient great, to gain",JF
The greedy eyes of wealth-alluring Swain:,JF
"Yet if I may believe what others say,",JF
My face has soil enough; nor can they lay,JF
Justly too strict a Coyness to my Charge;,JF
"My Flocks are many, and the Downs as large",JF
They feed upon: then let it ever be,JF
"Their Coldness, not my Virgin Modestie",JF
Makes me complain.,JF
_Enter_ Thenot.,JF
_The_. Was ever Man but I,JF
Thus truly taken with uncertainty?,JF
Where shall that Man be found that loves a mind,JF
"Made up in Constancy, and dare not find",JF
His Love rewarded? here let all men know,JF
A Wretch that lives to love his Mistress so.,JF
"_Clo_. Shepherd, I pray thee stay, where hast thou been?",JF
Or whither go'st thou? here be Woods as green,JF
"As any, air likewise as fresh and sweet,",JF
As where smooth _Zephyrus_ plays on the fleet,JF
"Face of the curled Streams, with Flowers as many",JF
"As the young Spring gives, and as choise as any;",JF
"Here be all new Delights, cool Streams and Wells,",JF
"Arbors o'rgrown with Woodbinds, Caves, and Dells,",JF
"Chase where thou wilt, whilst I sit by, and sing,",JF
Or gather Rushes to make many a Ring,JF
"For thy long fingers; tell thee tales of Love,",JF
"How the pale _Phoebe_ hunting in a Grove,",JF
"First saw the Boy _Endymion_, from whose Eyes",JF
She took eternal fire that never dyes;,JF
"How she convey'd him softly in a sleep,",JF
His temples bound with poppy to the steep,JF
"Head of old _Latmus_, where she stoops each night,",JF
"Gilding the Mountain with her Brothers light,",JF
To kiss her sweetest.,JF
_The_. Far from me are these,JF
"Hot flashes, bred from wanton heat and ease;",JF
I have forgot what love and loving meant:,JF
"Rhimes, Songs, and merry Rounds, that oft are sent",JF
"To the soft Ears of Maids, are strange to me;",JF
"Only I live t' admire a Chastitie,",JF
"That neither pleasing Age, smooth tongue, or Gold,",JF
"Could ever break upon, so pure a Mold",JF
Is that her Mind was cast in; 'tis to her,JF
I only am reserv'd; she is my form I stir,JF
"By, breath and move, 'tis she and only she",JF
"Can make me happy, or give miserie.",JF
"_Clo_. Good Shepherd, may a Stranger crave to know",JF
To whom this dear observance you do ow?,JF
"_The_. You may, and by her Vertue learn to square",JF
And level out your Life; for to be fair,JF
"And nothing vertuous, only fits the Eye",JF
"Of gaudy Youth, and swelling Vanitie.",JF
"Then know, she's call'd the Virgin of the Grove,",JF
"She that hath long since bury'd her chaste Love,",JF
"And now lives by his Grave, for whose dear Soul",JF
She hath vow'd her self into the holy Roll,JF
"Of strict Virginity; 'tis her I so admire,",JF
"Not any looser Blood, or new desire.",JF
"_Clo_. Farewel poor Swain, thou art not for my bend,",JF
"I must have quicker Souls, whose works may tend",JF
To some free action: give me him dare love,JF
"At first encounter, and as soon dare prove.",JF
The SONG.,JF
"_Come Shepherds, come,",JF
Come away without delay,JF
Whilst the gentle time dot[h] stay.,JF
"Green Woods are dumb,",JF
And will never tell to any,JF
"Those dear Kisses, and those many",JF
Sweet Embraces that are given,JF
Dainty Pleasures that would even,JF
"Raise in coldest Age a fire,",JF
"And give Virgin Blood desire,",JF
"Then if ever,",JF
"Now or never,",JF
"Come and have it,",JF
"Think not I,",JF
"Dare deny,",JF
If you crave it._,JF
_Enter_ Daphnis.,JF
"Here comes another: better be my speed,",JF
"Thou god of Blood: but certain, if I read",JF
"Not false, this is that modest Shepherd, he",JF
"That only dare salute, but ne'r could be",JF
"Brought to kiss any, hold discourse, or sing,",JF
"Whisper, or boldly ask that wished thing",JF
"We all are born for; one that makes loving Faces,",JF
"And could be well content to covet Graces,",JF
Were they not got by boldness; in this thing,JF
My hopes are frozen; and but Fate doth bring,JF
"Him hither, I would sooner chuse",JF
"A Man made out of Snow, and freer use",JF
"An Eunuch to my ends: but since he's here,",JF
"Thus I attempt him. Thou of men most dear,",JF
"Welcome to her, that only for thy sake,",JF
Hath been content to live: here boldly take,JF
"My hand in pledg, this hand, that never yet",JF
Was given away to any: and but sit,JF
"Down on this rushy Bank, whilst I go pull",JF
"Fresh Blossoms from the Boughs, or quickly cull",JF
"The choicest delicates from yonder Mead,",JF
"To make thee Chains, or Chaplets, or to spread",JF
"Under our fainting Bodies, when delight",JF
Shall lock up all our senses. How the sight,JF
Of those smooth rising Cheeks renew the story,JF
"Of young _Adonis_, when in Pride and Glory",JF
He lay infolded 'twixt the beating arms,JF
Of willing _Venus_: methinks stronger Charms,JF
"Dwell in those speaking eyes, and on that brow",JF
More sweetness than the Painters can allow,JF
"To their best pieces: not _Narcissus_, he",JF
That wept himself away in memorie,JF
"Of his own Beauty, nor _Silvanus_ Boy,",JF
"Nor the twice ravish'd Maid, for whom old _Troy_",JF
"Fell by the hand of _Pirrhus_, may to thee",JF
"Be otherwise compar'd, than some dead Tree",JF
To a young fruitful Olive.,JF
"_Daph_. I can love,",JF
"But I am loth to say so, lest I prove",JF
Too soon unhappy.,JF
"_Clo_. Happy thou would'st say,",JF
"My dearest _Daphnis_, blush not, if the day",JF
"To thee and thy soft heats be enemie,",JF
"Then take the coming Night, fair youth 'tis free",JF
"To all the World, Shepherd, I'll meet thee then",JF
"When darkness hath shut up the eyes of men,",JF
"In yonder Grove: speak, shall our Meeting hold?",JF
"Indeed you are too bashful, be more bold,",JF
And tell me I.,JF
"_Daph_. I'm content to say so,",JF
"And would be glad to meet, might I but pray so",JF
"Much from your Fairness, that you would be true.",JF
"_Clo_. Shepherd, thou hast thy Wish.",JF
"_Daph_. Fresh Maid, adieu:",JF
"Yet one word more, since you have drawn me on",JF
"To come this Night, fear not to meet alone",JF
"That man that will not offer to be ill,",JF
"Though your bright self would ask it, for his fill",JF
"Of this Worlds goodness: do not fear him then,",JF
But keep your 'pointed time; let other men,JF
"Set up their Bloods to sale, mine shall be ever",JF
"Fair as the Soul it carries, and unchast never.       [_Exit_.",JF
_Clo_. Yet am I poorer than I was before.,JF
"Is it not strange, among so many a score",JF
"Of lusty Bloods, I should pick out these things",JF
"Whose Veins like a dull River far from Springs,",JF
"Is still the same, slow, heavy, and unfit",JF
"For stream or motion, though the strong winds hit",JF
With their continual power upon his sides?,JF
"O happy be your names that have been brides,",JF
And tasted those rare sweets for which I pine:,JF
"And far more heavy be thy grief and time,",JF
"Thou lazie swain, that maist relieve my needs,",JF
"Than his, upon whose liver alwayes feeds",JF
A hungry vultur.,JF
_Enter_ Alexis.,JF
_Ale_. Can such beauty be,JF
"Safe in his own guard, and not draw the eye",JF
"Of him that passeth on, to greedy gaze,",JF
"Or covetous desire, whilst in a maze",JF
"The better part contemplates, giving rein",JF
And wished freedom to the labouring vein?,JF
"Fairest and whitest, may I crave to know",JF
"The cause of your retirement, why ye goe",JF
"Thus all alone? methinks the downs are sweeter,",JF
"And the young company of swains far meeter,",JF
Than those forsaken and untroden places.,JF
"Give not your self to loneness, and those graces",JF
"Hid from the eyes of men, that were intended",JF
To live amongst us swains.,JF
"_Cloe._ Thou art befriended,",JF
"Shepherd, in all my life I have not seen",JF
A man in whom greater contents have been,JF
"Than thou thy self art: I could tell thee more,",JF
Were there but any hope left to restore,JF
"My freedom lost. O lend me all thy red,",JF
"Thou shamefast morning, when from _Tithons_ bed",JF
Thou risest ever maiden.,JF
"_Alex. _If for me,",JF
"Thou sweetest of all sweets, these flashes be,",JF
"Speak and be satisfied. O guide her tongue,",JF
My better angel; force my name among,JF
"Her modest thoughts, that the first word may be--",JF
"_Cloe._ _Alexis_, when the sun shall kiss the Sea,",JF
"Taking his rest by the white _Thetis_ side,",JF
"Meet in the holy wood, where I'le abide",JF
"Thy coming, Shepherd.",JF
"_Alex._ If I stay behind,",JF
"An everlasting dulness, and the wind,",JF
That as he passeth by shuts up the stream,JF
"Of _Rhine_ or _Volga_, whilst the suns hot beam",JF
"Beats back again, seise me, and let me turn",JF
To coldness more than ice: oh how I burn,JF
And rise in youth and fire! I dare not stay.,JF
_Cloe._ My name shall be your word.,JF
"_Alex._ Fly, fly thou day.                        [_Exit._",JF
_Cloe._ My grief is great if both these boyes should fail:,JF
He that will use all winds must shift his sail.        [_Exit._,JF
_Actus Secundus. Scena Prima._,JF
"_Enter an old_ Shepherd, _with a bell ringing, and the Priest of Pan",JF
following._,JF
"_Priest._  O Shepherds all, and maidens fair,",JF
"Fold your flocks up, for the Air",JF
"Gins to thicken, and the sun",JF
Already his great course hath run.,JF
See the dew-drops how they kiss,JF
Every little flower that is:,JF
"Hanging on their velvet heads,",JF
Like a rope of crystal beads.,JF
"See the heavy clouds low falling,",JF
And bright _Hesperus_ down calling,JF
"The dead night from under ground,",JF
"At whose rising mists unsound,",JF
"Damps, and vapours fly apace,",JF
Hovering o're the wanton face,JF
"Of these pastures, where they come,",JF
Striking dead both bud and bloom;,JF
Therefore from such danger lock,JF
"Every one his loved flock,",JF
"And let your Dogs lye loose without,",JF
Lest the Wolf come as a scout,JF
"From the mountain, and e're day",JF
"Bear a Lamb or kid away,",JF
"Or the crafty theevish Fox,",JF
Break upon your simple flocks:,JF
"To secure your selves from these,",JF
Be not too secure in ease;,JF
"Let one eye his watches keep,",JF
Whilst the t'other eye doth sleep;,JF
"So you shall good Shepherds prove,",JF
And for ever hold the love,JF
Of our great god. Sweetest slumbers,JF
And soft silence fall in numbers,JF
"On your eye-lids: so farewel,",JF
Thus I end my evenings knel.                    [_Exeunt._,JF
"_Enter_ Clorin, _the_ Shepherdess, _sorting of herbs, and telling the",JF
natures of them._,JF
"_Clor._ Now let me know what my best Art hath done,",JF
Helpt by the great power of the vertuous moon,JF
"In her full light; O you sons of Earth,",JF
"You only brood, unto whose happy birth",JF
"Vertue was given, holding more of nature",JF
"Than man her first born and most perfect creature,",JF
Let me adore you; you that only can,JF
"Help or kill nature, drawing out that span",JF
Of life and breath even to the end of time;,JF
"You that these hands did crop, long before prime",JF
"Of day; give me your names, and next your hidden power.",JF
"This is the _Clote_ bearing a yellow flower,",JF
"And this black Horehound, both are very good",JF
"For sheep or Shepherd, bitten by a wood-",JF
"Dogs venom'd tooth; these Ramuns branches are,",JF
"Which stuck in entries, or about the bar",JF
"That holds the door fast, kill all inchantments, charms,",JF
Were they _Medeas_ verses that doe harms,JF
To men or cattel; these for frenzy be,JF
"A speedy and a soveraign remedie,",JF
"The bitter Wormwood, Sage, and Marigold,",JF
Such sympathy with mans good they do hold;,JF
"This Tormentil, whose vertue is to part",JF
All deadly killing poyson from the heart;,JF
And here _Narcissus_ roots for swellings be:,JF
"Yellow _Lysimacus_, to give sweet rest",JF
"To the faint Shepherd, killing where it comes",JF
"All busie gnats, and every fly that hums:",JF
"For leprosie, Darnel, and Sellondine,",JF
"With Calamint, whose vertues do refine",JF
"The blood of man, making it free and fair",JF
"As the first hour it breath'd, or the best air.",JF
"Here other two, but your rebellious use",JF
"Is not for me, whose goodness is abuse;",JF
"Therefore foul Standergrass, from me and mine",JF
"I banish thee, with lustful Turpentine,",JF
You that intice the veins and stir the heat,JF
"To civil mutiny, scaling the seat",JF
"Our reason moves in, and deluding it",JF
"With dreams and wanton fancies, till the fit",JF
"Of burning lust be quencht; by appetite,",JF
Robbing the soul of blessedness and light:,JF
"And thou light _Varvin_ too, thou must go after,",JF
Provoking easie souls to mirth and laughter;,JF
"No more shall I dip thee in water now,",JF
"And sprinkle every post, and every bough",JF
"With thy well pleasing juyce, to make the grooms",JF
"Swell with high mirth, as with joy all the rooms.",JF
_Enter_ Thenot.,JF
_The_. This is the Cabin where the best of all,JF
"Her Sex, that ever breath'd, or ever shall",JF
"Give heat or happiness to the Shepherds side,",JF
Doth only to her worthy self abide.,JF
"Thou blessed star, I thank thee for thy light,",JF
Thou by whose power the darkness of sad night,JF
"Is banisht from the Earth, in whose dull place",JF
Thy chaster beams play on the heavy face,JF
"Of all the world, making the blue Sea smile,",JF
To see how cunningly thou dost beguile,JF
"Thy Brother of his brightness, giving day",JF
"Again from _Chaos_, whiter than that way",JF
"That leads to _Joves_ high Court, and chaster far",JF
"Than chastity it self, yon blessed star",JF
"That nightly shines: Thou, all the constancie",JF
"That in all women was, or e're shall be,",JF
